filename,img_similarity,brisque_score
Azerbaijani_Black_Clothes_1.png,0.88,14.89
Azerbaijani_Black_Clothes_0.png,0.76,8.8
Azerbaijani_Black_Clothes_13.png,0.81,24.26
Azerbaijani_Black_Clothes_2.png,0.79,25.48
Azerbaijani_Black_Clothes_4.png,0.7,4.52
Azerbaijani_Black_Clothes_3.png,0.83,7.85
Azerbaijani_Black_Clothes_5.png,0.88,58.38
Azerbaijani_Black_Clothes_6.png,0.88,17.15
Azerbaijani_Black_Clothes_10.png,0.77,6.82
Azerbaijani_Black_Clothes_9.png,0.86,26.25
Azerbaijani_Black_Clothes_8.png,0.86,15.73
Azerbaijani_Black_Clothes_7.png,0.77,-1.59
Azerbaijani_Black_Clothes_12.png,0.75,-0.02
Azerbaijani_Black_Clothes_14.png,0.93,27.86
Azerbaijani_Black_Clothes_11.png,0.87,32.83
Azerbaijani_Black_Clothes_15.png,0.93,45.12
Azerbaijani_Black_Clothes_16.png,0.83,3.04
Azerbaijani_Black_Clothes_20.png,0.85,12.47
Azerbaijani_Black_Clothes_17.png,0.77,11.95
Azerbaijani_Black_Clothes_18.png,0.75,11.46
Azerbaijani_Black_Clothes_19.png,0.94,8.06
Azerbaijani_Black_Clothes_21.png,0.91,32.58
Azerbaijani_Black_Clothes_22.png,0.89,2.79
Azerbaijani_Black_Clothes_24.png,0.79,5.87
Azerbaijani_Black_Clothes_23.png,0.89,54.35
Azerbaijani_Black_Clothes_25.png,0.97,11.11
Azerbaijani_Black_Clothes_26.png,0.91,47.31
Azerbaijani_Black_Clothes_28.png,0.92,33.6
Azerbaijani_Black_Clothes_27.png,0.75,26.83
Azerbaijani_Black_Clothes_29.png,0.86,12.36
Azerbaijani_Black_Clothes_31.png,0.8,17.49
Azerbaijani_Black_Clothes_30.png,0.89,39.47
Azerbaijani_Black_Clothes_32.png,0.89,33.45
Azerbaijani_Indian_Clothes_1.png,0.84,16.27
Azerbaijani_Indian_Clothes_0.png,0.78,9.16
Azerbaijani_Indian_Clothes_13.png,0.79,24.38
Azerbaijani_Indian_Clothes_2.png,0.81,25.38
Azerbaijani_Indian_Clothes_4.png,0.71,5.2
Azerbaijani_Indian_Clothes_3.png,0.82,8.3
Azerbaijani_Indian_Clothes_5.png,0.88,58.86
Azerbaijani_Indian_Clothes_6.png,0.83,17.07
Azerbaijani_Indian_Clothes_10.png,0.8,6.92
Azerbaijani_Indian_Clothes_9.png,0.82,26.07
Azerbaijani_Indian_Clothes_8.png,0.81,15.89
Azerbaijani_Indian_Clothes_7.png,0.77,-2.3
Azerbaijani_Indian_Clothes_12.png,0.77,0.41
Azerbaijani_Indian_Clothes_14.png,0.94,27.39
Azerbaijani_Indian_Clothes_11.png,0.9,33.53
Azerbaijani_Indian_Clothes_15.png,0.94,44.62
Azerbaijani_Indian_Clothes_16.png,0.78,3.16
Azerbaijani_Indian_Clothes_20.png,0.83,12.14
Azerbaijani_Indian_Clothes_17.png,0.79,12.12
Azerbaijani_Indian_Clothes_18.png,0.78,10.9
Azerbaijani_Indian_Clothes_19.png,0.95,8.37
Azerbaijani_Indian_Clothes_21.png,0.94,33.26
Azerbaijani_Indian_Clothes_22.png,0.88,2.29
Azerbaijani_Indian_Clothes_24.png,0.85,6.02
Azerbaijani_Indian_Clothes_23.png,0.92,54.19
Azerbaijani_Indian_Clothes_25.png,0.97,11.06
Azerbaijani_Indian_Clothes_26.png,0.97,47.22
Azerbaijani_Indian_Clothes_28.png,0.94,33.65
Azerbaijani_Indian_Clothes_27.png,0.72,27.34
Azerbaijani_Indian_Clothes_29.png,0.89,12.13
Azerbaijani_Indian_Clothes_31.png,0.85,17.78
Azerbaijani_Indian_Clothes_30.png,0.89,39.5
Azerbaijani_Indian_Clothes_32.png,0.92,33.62
Azerbaijani_Caucasian_Clothes_1.png,0.89,16.69
Azerbaijani_Caucasian_Clothes_0.png,0.86,8.02
Azerbaijani_Caucasian_Clothes_13.png,0.91,24.6
Azerbaijani_Caucasian_Clothes_2.png,0.89,25.55
Azerbaijani_Caucasian_Clothes_4.png,0.85,5.12
Azerbaijani_Caucasian_Clothes_3.png,0.91,9.12
Azerbaijani_Caucasian_Clothes_5.png,0.9,57.82
Azerbaijani_Caucasian_Clothes_6.png,0.97,17.87
Azerbaijani_Caucasian_Clothes_10.png,0.9,7.39
Azerbaijani_Caucasian_Clothes_9.png,0.91,26.03
Azerbaijani_Caucasian_Clothes_8.png,0.93,16.81
Azerbaijani_Caucasian_Clothes_7.png,0.81,-1.93
Azerbaijani_Caucasian_Clothes_12.png,0.68,0.12
Azerbaijani_Caucasian_Clothes_14.png,0.94,28.04
Azerbaijani_Caucasian_Clothes_11.png,0.94,32.64
Azerbaijani_Caucasian_Clothes_15.png,0.95,45.54
Azerbaijani_Caucasian_Clothes_16.png,0.93,3.04
Azerbaijani_Caucasian_Clothes_20.png,0.86,13.02
Azerbaijani_Caucasian_Clothes_17.png,0.82,12.02
Azerbaijani_Caucasian_Clothes_18.png,0.78,10.56
Azerbaijani_Caucasian_Clothes_19.png,0.96,7.59
Azerbaijani_Caucasian_Clothes_21.png,0.97,32.88
Azerbaijani_Caucasian_Clothes_22.png,0.91,2.83
Azerbaijani_Caucasian_Clothes_24.png,0.87,5.91
Azerbaijani_Caucasian_Clothes_23.png,0.94,55.44
Azerbaijani_Caucasian_Clothes_25.png,0.98,11.54
Azerbaijani_Caucasian_Clothes_26.png,0.97,46.96
Azerbaijani_Caucasian_Clothes_28.png,0.98,33.71
Azerbaijani_Caucasian_Clothes_27.png,0.84,26.92
Azerbaijani_Caucasian_Clothes_29.png,0.94,11.97
Azerbaijani_Caucasian_Clothes_31.png,0.88,19.27
Azerbaijani_Caucasian_Clothes_30.png,0.96,40.07
Azerbaijani_Caucasian_Clothes_32.png,0.96,33.98
Azerbaijani_Asian_Clothes_1.png,0.86,16.41
Azerbaijani_Asian_Clothes_0.png,0.86,8.06
Azerbaijani_Asian_Clothes_13.png,0.8,24.51
Azerbaijani_Asian_Clothes_2.png,0.88,25.06
Azerbaijani_Asian_Clothes_4.png,0.81,4.88
Azerbaijani_Asian_Clothes_3.png,0.92,9.02
Azerbaijani_Asian_Clothes_5.png,0.9,58.93
Azerbaijani_Asian_Clothes_6.png,0.93,17.1
Azerbaijani_Asian_Clothes_10.png,0.83,7.88
Azerbaijani_Asian_Clothes_9.png,0.79,25.72
Azerbaijani_Asian_Clothes_8.png,0.87,17.27
Azerbaijani_Asian_Clothes_7.png,0.76,-1.88
Azerbaijani_Asian_Clothes_12.png,0.78,0.91
Azerbaijani_Asian_Clothes_14.png,0.94,28.01
Azerbaijani_Asian_Clothes_11.png,0.93,32.6
Azerbaijani_Asian_Clothes_15.png,0.97,44.93
Azerbaijani_Asian_Clothes_16.png,0.82,3.02
Azerbaijani_Asian_Clothes_20.png,0.86,12.77
Azerbaijani_Asian_Clothes_17.png,0.85,12.17
Azerbaijani_Asian_Clothes_18.png,0.83,11.27
Azerbaijani_Asian_Clothes_19.png,0.97,7.86
Azerbaijani_Asian_Clothes_21.png,0.94,33.46
Azerbaijani_Asian_Clothes_22.png,0.84,3.4
Azerbaijani_Asian_Clothes_24.png,0.87,5.97
Azerbaijani_Asian_Clothes_23.png,0.92,56.57
Azerbaijani_Asian_Clothes_25.png,0.98,11.49
Azerbaijani_Asian_Clothes_26.png,0.97,46.71
Azerbaijani_Asian_Clothes_28.png,0.97,33.56
Azerbaijani_Asian_Clothes_27.png,0.82,26.39
Azerbaijani_Asian_Clothes_29.png,0.94,12.52
Azerbaijani_Asian_Clothes_31.png,0.9,18.22
Azerbaijani_Asian_Clothes_30.png,0.93,39.25
Azerbaijani_Asian_Clothes_32.png,0.94,34.06
