filename,img_similarity,brisque_score
Azerbaijani_Black_festival_3.png,0.99,28.61
Azerbaijani_Black_festival_16.png,0.97,15.25
Azerbaijani_Black_festival_28.png,0.95,23.58
Azerbaijani_Black_festival_8.png,0.88,12.15
Azerbaijani_Black_festival_4.png,0.95,6.19
Azerbaijani_Black_festival_13.png,0.96,9.78
Azerbaijani_Black_festival_31.png,0.75,7.16
Azerbaijani_Black_festival_24.png,0.99,15.98
Azerbaijani_Black_festival_15.png,0.96,30.39
Azerbaijani_Black_festival_17.png,0.87,23.51
Azerbaijani_Black_festival_9.png,0.92,16.14
Azerbaijani_Black_festival_6.png,0.89,10.9
Azerbaijani_Black_festival_20.png,0.92,30.36
Azerbaijani_Black_festival_25.png,0.97,23.16
Azerbaijani_Black_festival_29.png,0.84,42.22
Azerbaijani_Black_festival_10.png,0.92,23.57
Azerbaijani_Black_festival_30.png,0.94,23.04
Azerbaijani_Black_festival_0.png,0.84,21.85
Azerbaijani_Black_festival_23.png,0.86,40.72
Azerbaijani_Black_festival_12.png,0.94,20.4
Azerbaijani_Black_festival_27.png,0.83,27.46
Azerbaijani_Black_festival_7.png,0.88,11.95
Azerbaijani_Black_festival_11.png,0.85,27.58
Azerbaijani_Black_festival_5.png,0.86,30.59
Azerbaijani_Black_festival_18.png,0.95,22.45
Azerbaijani_Black_festival_32.png,0.92,6.19
Azerbaijani_Black_festival_1.png,0.95,28.97
Azerbaijani_Black_festival_21.png,0.98,9.66
Azerbaijani_Black_festival_22.png,0.91,19.05
Azerbaijani_Black_festival_26.png,0.94,18.37
Azerbaijani_Black_festival_19.png,0.94,25.94
Azerbaijani_Black_festival_14.png,0.96,28.73
Azerbaijani_Black_festival_2.png,0.86,35.81
Azerbaijani_Indian_festival_3.png,0.99,28.72
Azerbaijani_Indian_festival_16.png,0.98,15.16
Azerbaijani_Indian_festival_28.png,0.98,23.33
Azerbaijani_Indian_festival_8.png,0.9,11.11
Azerbaijani_Indian_festival_4.png,0.94,5.46
Azerbaijani_Indian_festival_13.png,0.96,11.22
Azerbaijani_Indian_festival_31.png,0.89,8.02
Azerbaijani_Indian_festival_24.png,0.99,16.02
Azerbaijani_Indian_festival_15.png,0.98,31.9
Azerbaijani_Indian_festival_17.png,0.87,25.14
Azerbaijani_Indian_festival_9.png,0.96,15.9
Azerbaijani_Indian_festival_6.png,0.87,11.46
Azerbaijani_Indian_festival_20.png,0.94,31.34
Azerbaijani_Indian_festival_25.png,0.98,23.96
Azerbaijani_Indian_festival_29.png,0.82,43.29
Azerbaijani_Indian_festival_10.png,0.97,23.83
Azerbaijani_Indian_festival_30.png,0.96,23.03
Azerbaijani_Indian_festival_0.png,0.87,22.46
Azerbaijani_Indian_festival_23.png,0.92,41.94
Azerbaijani_Indian_festival_12.png,0.97,20.69
Azerbaijani_Indian_festival_27.png,0.8,27.06
Azerbaijani_Indian_festival_7.png,0.93,10.84
Azerbaijani_Indian_festival_11.png,0.77,27.37
Azerbaijani_Indian_festival_5.png,0.83,29.38
Azerbaijani_Indian_festival_18.png,0.97,22.04
Azerbaijani_Indian_festival_32.png,0.97,7.87
Azerbaijani_Indian_festival_1.png,0.96,29.05
Azerbaijani_Indian_festival_21.png,0.98,9.94
Azerbaijani_Indian_festival_22.png,0.94,19.05
Azerbaijani_Indian_festival_26.png,0.93,17.85
Azerbaijani_Indian_festival_19.png,0.96,26.09
Azerbaijani_Indian_festival_14.png,0.99,28.7
Azerbaijani_Indian_festival_2.png,0.84,35.64
Azerbaijani_Caucasian_festival_3.png,0.97,28.68
Azerbaijani_Caucasian_festival_16.png,0.97,14.56
Azerbaijani_Caucasian_festival_28.png,0.98,23.4
Azerbaijani_Caucasian_festival_8.png,0.96,12.47
Azerbaijani_Caucasian_festival_4.png,0.93,5.91
Azerbaijani_Caucasian_festival_13.png,0.95,10.51
Azerbaijani_Caucasian_festival_31.png,0.9,7.98
Azerbaijani_Caucasian_festival_24.png,0.98,16.04
Azerbaijani_Caucasian_festival_15.png,0.97,31.17
Azerbaijani_Caucasian_festival_17.png,0.91,24.61
Azerbaijani_Caucasian_festival_9.png,0.93,15.99
Azerbaijani_Caucasian_festival_6.png,0.92,11.29
Azerbaijani_Caucasian_festival_20.png,0.95,30.22
Azerbaijani_Caucasian_festival_25.png,0.98,22.86
Azerbaijani_Caucasian_festival_29.png,0.86,44.24
Azerbaijani_Caucasian_festival_10.png,0.97,23.92
Azerbaijani_Caucasian_festival_30.png,0.97,22.35
Azerbaijani_Caucasian_festival_0.png,0.91,22.5
Azerbaijani_Caucasian_festival_23.png,0.93,42.15
Azerbaijani_Caucasian_festival_12.png,0.99,20.78
Azerbaijani_Caucasian_festival_27.png,0.88,27.27
Azerbaijani_Caucasian_festival_7.png,0.9,11.26
Azerbaijani_Caucasian_festival_11.png,0.95,27.09
Azerbaijani_Caucasian_festival_5.png,0.88,29.69
Azerbaijani_Caucasian_festival_18.png,0.96,22.53
Azerbaijani_Caucasian_festival_32.png,0.95,6.72
Azerbaijani_Caucasian_festival_1.png,0.97,28.76
Azerbaijani_Caucasian_festival_21.png,0.99,10.04
Azerbaijani_Caucasian_festival_22.png,0.97,19.21
Azerbaijani_Caucasian_festival_26.png,0.96,18.44
Azerbaijani_Caucasian_festival_19.png,0.99,25.79
Azerbaijani_Caucasian_festival_14.png,0.99,28.97
Azerbaijani_Caucasian_festival_2.png,0.91,35.06
Azerbaijani_Asian_festival_3.png,0.98,30.42
Azerbaijani_Asian_festival_16.png,0.97,14.93
Azerbaijani_Asian_festival_28.png,0.97,22.98
Azerbaijani_Asian_festival_8.png,0.91,12.18
Azerbaijani_Asian_festival_4.png,0.9,6.72
Azerbaijani_Asian_festival_13.png,0.95,9.58
Azerbaijani_Asian_festival_31.png,0.86,7.2
Azerbaijani_Asian_festival_24.png,0.99,15.92
Azerbaijani_Asian_festival_15.png,0.98,31.66
Azerbaijani_Asian_festival_17.png,0.87,22.78
Azerbaijani_Asian_festival_9.png,0.92,16.28
Azerbaijani_Asian_festival_6.png,0.92,11.43
Azerbaijani_Asian_festival_20.png,0.94,31.44
Azerbaijani_Asian_festival_25.png,0.98,22.4
Azerbaijani_Asian_festival_29.png,0.9,41.79
Azerbaijani_Asian_festival_10.png,0.96,23.95
Azerbaijani_Asian_festival_30.png,0.97,21.81
Azerbaijani_Asian_festival_0.png,0.86,23.17
Azerbaijani_Asian_festival_23.png,0.9,41.04
Azerbaijani_Asian_festival_12.png,0.98,20.75
Azerbaijani_Asian_festival_27.png,0.83,27.04
Azerbaijani_Asian_festival_7.png,0.84,12.06
Azerbaijani_Asian_festival_11.png,0.87,26.95
Azerbaijani_Asian_festival_5.png,0.87,29.77
Azerbaijani_Asian_festival_18.png,0.97,21.83
Azerbaijani_Asian_festival_32.png,0.94,7.04
Azerbaijani_Asian_festival_1.png,0.96,28.85
Azerbaijani_Asian_festival_21.png,0.98,9.72
Azerbaijani_Asian_festival_22.png,0.91,19.02
Azerbaijani_Asian_festival_26.png,0.96,17.86
Azerbaijani_Asian_festival_19.png,0.98,25.76
Azerbaijani_Asian_festival_14.png,0.99,28.86
Azerbaijani_Asian_festival_2.png,0.84,34.9
