filename,img_similarity,brisque_score
Azerbaijani_Black_Food_28.png,0.89,13.94
Azerbaijani_Black_Food_10.png,0.96,22.98
Azerbaijani_Black_Food_18.png,0.88,14.36
Azerbaijani_Black_Food_6.png,0.9,20.97
Azerbaijani_Black_Food_19.png,0.79,13.56
Azerbaijani_Black_Food_31.png,0.92,9.22
Azerbaijani_Black_Food_9.png,0.59,18.23
Azerbaijani_Black_Food_29.png,0.98,14.89
Azerbaijani_Black_Food_22.png,0.9,11.19
Azerbaijani_Black_Food_32.png,0.85,12.76
Azerbaijani_Black_Food_20.png,0.99,17.74
Azerbaijani_Black_Food_8.png,0.9,20.71
Azerbaijani_Black_Food_16.png,0.93,11.56
Azerbaijani_Black_Food_14.png,0.92,20.58
Azerbaijani_Black_Food_24.png,0.79,8.51
Azerbaijani_Black_Food_27.png,0.91,9.56
Azerbaijani_Black_Food_1.png,0.91,43.81
Azerbaijani_Black_Food_11.png,0.98,21.57
Azerbaijani_Black_Food_21.png,0.98,21.31
Azerbaijani_Black_Food_3.png,0.96,12.86
Azerbaijani_Black_Food_26.png,0.91,21.81
Azerbaijani_Black_Food_13.png,0.82,6.78
Azerbaijani_Black_Food_17.png,0.89,25.38
Azerbaijani_Black_Food_23.png,0.88,10.99
Azerbaijani_Black_Food_5.png,0.98,24.95
Azerbaijani_Black_Food_12.png,0.76,15.6
Azerbaijani_Black_Food_4.png,0.86,18.92
Azerbaijani_Black_Food_25.png,0.84,8.08
Azerbaijani_Black_Food_7.png,0.87,-4.03
Azerbaijani_Black_Food_2.png,0.82,26.82
Azerbaijani_Black_Food_15.png,0.87,18.86
Azerbaijani_Black_Food_30.png,0.93,25.6
Azerbaijani_Black_Food_0.png,0.89,13.59
Azerbaijani_Indian_Food_28.png,0.86,13.75
Azerbaijani_Indian_Food_10.png,0.97,23.36
Azerbaijani_Indian_Food_18.png,0.89,14.87
Azerbaijani_Indian_Food_6.png,0.88,20.86
Azerbaijani_Indian_Food_19.png,0.86,13.55
Azerbaijani_Indian_Food_31.png,0.91,9.95
Azerbaijani_Indian_Food_9.png,0.65,18.23
Azerbaijani_Indian_Food_29.png,0.98,14.17
Azerbaijani_Indian_Food_22.png,0.94,10.65
Azerbaijani_Indian_Food_32.png,0.93,12.69
Azerbaijani_Indian_Food_20.png,0.99,17.42
Azerbaijani_Indian_Food_8.png,0.95,20.68
Azerbaijani_Indian_Food_16.png,0.95,12.07
Azerbaijani_Indian_Food_14.png,0.96,20.68
Azerbaijani_Indian_Food_24.png,0.88,8.47
Azerbaijani_Indian_Food_27.png,0.91,9.72
Azerbaijani_Indian_Food_1.png,0.89,43.94
Azerbaijani_Indian_Food_11.png,0.97,21.6
Azerbaijani_Indian_Food_21.png,0.98,20.92
Azerbaijani_Indian_Food_3.png,0.95,12.72
Azerbaijani_Indian_Food_26.png,0.92,21.76
