filename,img_similarity,brisque_score
Korea_Asian_Festival_1.png,0.73,19.43
Korea_Asian_Festival_2.png,0.94,16.26
Korea_Asian_Festival_3.png,0.96,19.46
Korea_Asian_Festival_4.png,0.98,22.54
Korea_Asian_Festival_5.png,0.97,51.6
Korea_Asian_Festival_6.png,0.93,22.58
Korea_Asian_Festival_7.png,0.98,16.54
Korea_Asian_Festival_8.png,0.96,6.97
Korea_Asian_Festival_9.png,0.98,8.79
Korea_Asian_Festival_10.png,0.94,37.42
Korea_Asian_Festival_11.png,0.96,23.45
Korea_Asian_Festival_12.png,0.98,52.27
Korea_Asian_Festival_13.png,0.95,21.47
Korea_Asian_Festival_14.png,0.93,32.29
Korea_Asian_Festival_15.png,0.97,17.34
Korea_Asian_Festival_16.png,0.95,33.17
Korea_Asian_Festival_17.png,0.97,22.18
Korea_Asian_Festival_18.png,0.91,23.71
Korea_Asian_Festival_19.png,0.97,38.17
Korea_Asian_Festival_20.png,0.96,28.3
Korea_Asian_Festival_21.png,0.83,155.84
Korea_Asian_Festival_22.png,0.97,11.45
Korea_Asian_Festival_23.png,0.95,24.65
Korea_Asian_Festival_24.png,0.97,18.31
Korea_Asian_Festival_25.png,0.91,33.95
Korea_Asian_Festival_26.png,0.94,34.56
Korea_Asian_Festival_27.png,0.95,24.47
Korea_Asian_Festival_28.png,0.92,43.67
Korea_Asian_Festival_29.png,0.9,14.94
Korea_Asian_Festival_30.png,0.92,32.5
Korea_Asian_Festival_31.png,0.94,11.26
Korea_Asian_Festival_32.png,0.98,45.55
Korea_Asian_Festival_33.png,0.93,15.54
Korea_Black_Festival_1.png,0.89,20.14
Korea_Black_Festival_2.png,0.85,15.46
Korea_Black_Festival_3.png,0.88,19.8
Korea_Black_Festival_4.png,0.94,21.75
Korea_Black_Festival_5.png,0.86,52.03
Korea_Black_Festival_6.png,0.91,23.18
Korea_Black_Festival_7.png,0.91,17.67
Korea_Black_Festival_8.png,0.95,6.86
Korea_Black_Festival_9.png,0.98,9.04
Korea_Black_Festival_10.png,0.86,37.98
Korea_Black_Festival_11.png,0.87,24.17
Korea_Black_Festival_12.png,0.96,52.52
Korea_Black_Festival_13.png,0.88,20.79
Korea_Black_Festival_14.png,0.96,31.37
Korea_Black_Festival_15.png,0.95,16.63
Korea_Black_Festival_16.png,0.87,33.64
Korea_Black_Festival_17.png,0.92,21.49
Korea_Black_Festival_18.png,0.83,23.72
Korea_Black_Festival_19.png,0.9,41.41
Korea_Black_Festival_20.png,0.96,27.84
Korea_Black_Festival_21.png,0.81,155.84
Korea_Black_Festival_22.png,0.93,10.86
Korea_Black_Festival_23.png,0.91,24.24
Korea_Black_Festival_24.png,0.96,18.23
Korea_Black_Festival_25.png,0.9,34.48
Korea_Black_Festival_26.png,0.86,34.8
Korea_Black_Festival_27.png,0.91,24.03
Korea_Black_Festival_28.png,0.87,44.84
Korea_Black_Festival_29.png,0.79,15.15
Korea_Black_Festival_30.png,0.92,32.92
Korea_Black_Festival_31.png,0.9,8.74
Korea_Black_Festival_32.png,0.93,46.94
Korea_Black_Festival_33.png,0.91,15.31
Korea_Indian_Festival_1.png,0.86,19.17
Korea_Indian_Festival_2.png,0.81,16.48
Korea_Indian_Festival_3.png,0.88,20.73
Korea_Indian_Festival_4.png,0.97,21.39
Korea_Indian_Festival_5.png,0.89,52.06
Korea_Indian_Festival_6.png,0.94,22.96
Korea_Indian_Festival_7.png,0.92,18.48
Korea_Indian_Festival_8.png,0.95,8.08
Korea_Indian_Festival_9.png,0.98,7.82
Korea_Indian_Festival_10.png,0.89,36.21
Korea_Indian_Festival_11.png,0.89,24.16
Korea_Indian_Festival_12.png,0.98,52.12
Korea_Indian_Festival_13.png,0.86,22.05
Korea_Indian_Festival_14.png,0.9,32.01
Korea_Indian_Festival_15.png,0.96,17.69
Korea_Indian_Festival_16.png,0.89,33.42
Korea_Indian_Festival_17.png,0.94,20.88
Korea_Indian_Festival_18.png,0.85,21.59
Korea_Indian_Festival_19.png,0.94,39.95
Korea_Indian_Festival_20.png,0.96,28.13
Korea_Indian_Festival_21.png,0.69,155.84
Korea_Indian_Festival_22.png,0.95,11.79
Korea_Indian_Festival_23.png,0.84,24.13
Korea_Indian_Festival_24.png,0.98,17.99
Korea_Indian_Festival_25.png,0.93,35.37
Korea_Indian_Festival_26.png,0.86,34.59
Korea_Indian_Festival_27.png,0.93,24.48
Korea_Indian_Festival_28.png,0.83,42.65
Korea_Indian_Festival_29.png,0.8,15.02
Korea_Indian_Festival_30.png,0.87,32.35
Korea_Indian_Festival_31.png,0.88,9.35
Korea_Indian_Festival_32.png,0.96,45.86
Korea_Indian_Festival_33.png,0.88,13.55
Korea_White_Festival_1.png,0.88,20.28
Korea_White_Festival_2.png,0.9,15.68
Korea_White_Festival_3.png,0.91,20.25
Korea_White_Festival_4.png,0.98,22.04
Korea_White_Festival_5.png,0.9,52.2
Korea_White_Festival_6.png,0.88,23.17
Korea_White_Festival_7.png,0.94,18.87
Korea_White_Festival_8.png,0.98,7.99
Korea_White_Festival_9.png,0.98,8.01
Korea_White_Festival_10.png,0.89,37.06
Korea_White_Festival_11.png,0.88,24.74
Korea_White_Festival_12.png,0.96,53.06
Korea_White_Festival_13.png,0.94,22.06
Korea_White_Festival_14.png,0.95,31.42
Korea_White_Festival_15.png,0.97,15.98
Korea_White_Festival_16.png,0.86,33.61
Korea_White_Festival_17.png,0.97,21.67
Korea_White_Festival_18.png,0.86,24.39
Korea_White_Festival_19.png,0.95,39.08
Korea_White_Festival_20.png,0.94,28.91
Korea_White_Festival_21.png,0.81,155.84
Korea_White_Festival_22.png,0.96,12.72
Korea_White_Festival_23.png,0.94,24.16
Korea_White_Festival_24.png,0.96,18.77
Korea_White_Festival_25.png,0.89,36.34
Korea_White_Festival_26.png,0.89,32.5
Korea_White_Festival_27.png,0.94,24.27
Korea_White_Festival_28.png,0.86,45.04
Korea_White_Festival_29.png,0.81,13.7
Korea_White_Festival_30.png,0.9,32.69
Korea_White_Festival_31.png,0.9,10.34
Korea_White_Festival_32.png,0.97,44.94
Korea_White_Festival_33.png,0.88,13.66
