filename,img_similarity,brisque_score
Korea_Asian_Food_1.png,0.92,20.73
Korea_Asian_Food_2.png,0.94,50.2
Korea_Asian_Food_4.png,0.87,30.88
Korea_Asian_Food_5.png,0.9,30.64
Korea_Asian_Food_6.png,0.92,36.78
Korea_Asian_Food_7.png,0.96,62.88
Korea_Asian_Food_8.png,0.91,43.81
Korea_Asian_Food_9.png,0.91,19.82
Korea_Asian_Food_10.png,0.86,35.87
Korea_Asian_Food_11.png,0.95,15.18
Korea_Asian_Food_12.png,0.89,25.21
Korea_Asian_Food_13.png,0.89,34.62
Korea_Asian_Food_14.png,0.92,12.48
Korea_Asian_Food_15.png,0.95,31.2
Korea_Asian_Food_16.png,0.9,19.46
Korea_Asian_Food_17.png,0.84,34.58
Korea_Asian_Food_18.png,0.93,21.53
Korea_Asian_Food_19.png,0.87,46.26
Korea_Asian_Food_20.png,0.87,5.75
Korea_Asian_Food_21.png,0.93,15.7
Korea_Asian_Food_22.png,0.87,25.37
Korea_Asian_Food_23.png,0.93,21.67
Korea_Asian_Food_24.png,0.91,21.22
Korea_Asian_Food_25.png,0.95,2.26
Korea_Asian_Food_26.png,0.9,24.78
Korea_Asian_Food_27.png,0.89,8.02
Korea_Asian_Food_28.png,0.94,39.5
Korea_Asian_Food_29.png,0.94,39.13
Korea_Asian_Food_30.png,0.87,29.14
Korea_Asian_Food_31.png,0.95,5.27
Korea_Asian_Food_32.png,0.8,46.91
Korea_Asian_Food_33.png,0.87,18.82
Korea_Black_Food_1.png,0.64,16.64
Korea_Black_Food_2.png,0.61,25.26
Korea_Black_Food_4.png,0.54,12.65
Korea_Black_Food_5.png,0.69,27.59
Korea_Black_Food_6.png,0.61,19.99
Korea_Black_Food_7.png,0.6,34.7
Korea_Black_Food_8.png,0.56,19.46
Korea_Black_Food_9.png,0.63,45.83
Korea_Black_Food_10.png,0.44,20.59
Korea_Black_Food_11.png,0.58,5.1
Korea_Black_Food_12.png,0.51,50.75
Korea_Black_Food_13.png,0.5,-1.45
Korea_Black_Food_14.png,0.47,31.33
Korea_Black_Food_15.png,0.8,29.79
Korea_Black_Food_16.png,0.53,37.63
Korea_Black_Food_17.png,0.62,64.91
Korea_Black_Food_18.png,0.58,42.87
Korea_Black_Food_19.png,0.59,20.12
Korea_Black_Food_21.png,0.86,16.26
Korea_Black_Food_22.png,0.76,25.35
Korea_Black_Food_23.png,0.72,17.81
Korea_Black_Food_24.png,0.73,19.88
Korea_Black_Food_25.png,0.82,1.23
Korea_Black_Food_26.png,0.81,22.42
Korea_Black_Food_27.png,0.78,9.76
Korea_Black_Food_28.png,0.87,37.19
Korea_Black_Food_29.png,0.73,39.41
Korea_Black_Food_30.png,0.79,28.3
Korea_Black_Food_31.png,0.87,6.55
Korea_Black_Food_32.png,0.68,46.53
Korea_Black_Food_33.png,0.78,17.18
Korea_Indian_Food_1.png,0.66,15.49
Korea_Indian_Food_2.png,0.61,26.38
Korea_Indian_Food_4.png,0.58,12.11
Korea_Indian_Food_5.png,0.69,28.19
Korea_Indian_Food_6.png,0.53,19.41
Korea_Indian_Food_7.png,0.62,37.68
Korea_Indian_Food_8.png,0.6,18.08
Korea_Indian_Food_9.png,0.61,46.24
Korea_Indian_Food_10.png,0.45,18.7
Korea_Indian_Food_11.png,0.57,4.16
Korea_Indian_Food_12.png,0.51,50.27
Korea_Indian_Food_13.png,0.59,-1.35
Korea_Indian_Food_14.png,0.5,29.75
Korea_Indian_Food_15.png,0.79,30.51
Korea_Indian_Food_16.png,0.57,36.56
Korea_Indian_Food_17.png,0.63,64.47
Korea_Indian_Food_18.png,0.56,41.18
Korea_Indian_Food_19.png,0.6,17.88
Korea_Indian_Food_21.png,0.81,15.72
Korea_Indian_Food_22.png,0.74,25.52
Korea_Indian_Food_23.png,0.74,18.15
Korea_Indian_Food_24.png,0.69,20.2
Korea_Indian_Food_25.png,0.79,1.11
Korea_Indian_Food_26.png,0.78,21.49
Korea_Indian_Food_27.png,0.74,7.84
Korea_Indian_Food_28.png,0.85,38.39
Korea_Indian_Food_29.png,0.8,39.46
Korea_Indian_Food_30.png,0.8,29.4
Korea_Indian_Food_31.png,0.86,6.42
Korea_Indian_Food_32.png,0.63,45.57
Korea_Indian_Food_33.png,0.63,18.79
Korea_White_Food_1.png,0.65,18.44
Korea_White_Food_2.png,0.67,26.36
Korea_White_Food_4.png,0.53,12.48
Korea_White_Food_5.png,0.68,29.0
Korea_White_Food_6.png,0.68,19.43
Korea_White_Food_7.png,0.65,37.14
Korea_White_Food_8.png,0.57,18.35
Korea_White_Food_9.png,0.66,45.77
Korea_White_Food_10.png,0.48,18.89
Korea_White_Food_11.png,0.6,4.54
Korea_White_Food_12.png,0.55,49.45
Korea_White_Food_13.png,0.55,0.09
Korea_White_Food_14.png,0.47,30.45
Korea_White_Food_15.png,0.85,31.54
Korea_White_Food_16.png,0.53,37.71
Korea_White_Food_17.png,0.63,67.39
Korea_White_Food_18.png,0.63,42.07
Korea_White_Food_19.png,0.63,17.75
Korea_White_Food_21.png,0.9,16.17
Korea_White_Food_22.png,0.76,25.55
Korea_White_Food_23.png,0.78,20.97
Korea_White_Food_24.png,0.77,21.16
Korea_White_Food_25.png,0.89,-1.44
Korea_White_Food_26.png,0.86,23.53
Korea_White_Food_27.png,0.84,9.39
Korea_White_Food_28.png,0.93,37.07
Korea_White_Food_29.png,0.78,39.03
Korea_White_Food_30.png,0.83,29.73
Korea_White_Food_31.png,0.81,5.63
Korea_White_Food_32.png,0.64,46.14
Korea_White_Food_33.png,0.78,18.6
