filename,img_similarity,brisque_score
Korea_Asian_Clothes_1.png,0.97,22.73
Korea_Asian_Clothes_2.png,0.87,52.41
Korea_Asian_Clothes_3.png,0.97,82.58
Korea_Asian_Clothes_4.png,0.97,37.07
Korea_Asian_Clothes_5.png,0.97,12.09
Korea_Asian_Clothes_6.png,0.94,4.88
Korea_Asian_Clothes_7.png,0.91,31.62
Korea_Asian_Clothes_8.png,0.92,5.96
Korea_Asian_Clothes_9.png,0.97,76.04
Korea_Asian_Clothes_10.png,0.97,36.8
Korea_Asian_Clothes_11.png,0.99,16.04
Korea_Asian_Clothes_12.png,0.93,9.15
Korea_Asian_Clothes_13.png,0.94,31.9
Korea_Asian_Clothes_14.png,0.94,26.87
Korea_Asian_Clothes_15.png,0.8,1.03
Korea_Asian_Clothes_16.png,0.94,24.54
Korea_Asian_Clothes_17.png,0.9,42.89
Korea_Asian_Clothes_18.png,0.96,16.78
Korea_Asian_Clothes_19.png,0.94,36.33
Korea_Asian_Clothes_20.png,0.98,48.1
Korea_Asian_Clothes_21.png,0.88,1.73
Korea_Asian_Clothes_22.png,0.98,62.83
Korea_Asian_Clothes_23.png,0.81,60.8
Korea_Asian_Clothes_24.png,0.93,42.53
Korea_Asian_Clothes_25.png,0.96,54.87
Korea_Asian_Clothes_26.png,0.91,34.5
Korea_Asian_Clothes_27.png,0.96,50.0
Korea_Asian_Clothes_28.png,0.95,3.76
Korea_Asian_Clothes_29.png,0.97,19.64
Korea_Asian_Clothes_30.png,0.97,36.48
Korea_Asian_Clothes_31.png,0.93,26.78
Korea_Asian_Clothes_32.png,0.96,19.36
Korea_Asian_Clothes_33.png,0.94,21.26
Korea_Black_Clothes_1.png,0.87,23.07
Korea_Black_Clothes_2.png,0.8,52.13
Korea_Black_Clothes_3.png,0.87,82.06
Korea_Black_Clothes_4.png,0.97,36.47
Korea_Black_Clothes_5.png,0.97,12.08
Korea_Black_Clothes_6.png,0.79,4.85
Korea_Black_Clothes_7.png,0.78,34.19
Korea_Black_Clothes_8.png,0.91,6.81
Korea_Black_Clothes_9.png,0.84,75.93
Korea_Black_Clothes_10.png,0.96,35.48
Korea_Black_Clothes_11.png,0.94,16.44
Korea_Black_Clothes_12.png,0.8,8.16
Korea_Black_Clothes_13.png,0.77,31.15
Korea_Black_Clothes_14.png,0.7,25.78
Korea_Black_Clothes_15.png,0.82,2.06
Korea_Black_Clothes_16.png,0.78,25.71
Korea_Black_Clothes_17.png,0.89,41.7
Korea_Black_Clothes_18.png,0.83,16.11
Korea_Black_Clothes_19.png,0.83,37.36
Korea_Black_Clothes_20.png,0.98,48.65
Korea_Black_Clothes_21.png,0.74,1.06
Korea_Black_Clothes_22.png,0.95,63.9
Korea_Black_Clothes_23.png,0.82,61.94
Korea_Black_Clothes_24.png,0.91,42.95
Korea_Black_Clothes_25.png,0.91,53.45
Korea_Black_Clothes_26.png,0.76,35.39
Korea_Black_Clothes_27.png,0.84,49.0
Korea_Black_Clothes_28.png,0.82,2.84
Korea_Black_Clothes_29.png,0.86,19.51
Korea_Black_Clothes_30.png,0.86,34.75
Korea_Black_Clothes_31.png,0.82,27.0
Korea_Black_Clothes_32.png,0.82,19.35
Korea_Black_Clothes_33.png,0.92,20.87
Korea_Indian_Clothes_1.png,0.92,23.41
Korea_Indian_Clothes_2.png,0.78,52.8
Korea_Indian_Clothes_3.png,0.9,82.98
Korea_Indian_Clothes_4.png,0.96,36.65
Korea_Indian_Clothes_5.png,0.97,11.8
Korea_Indian_Clothes_6.png,0.77,4.37
Korea_Indian_Clothes_7.png,0.76,33.61
Korea_Indian_Clothes_8.png,0.91,7.82
Korea_Indian_Clothes_9.png,0.89,76.25
Korea_Indian_Clothes_10.png,0.96,35.66
Korea_Indian_Clothes_11.png,0.95,16.93
Korea_Indian_Clothes_12.png,0.76,8.79
Korea_Indian_Clothes_13.png,0.81,32.04
Korea_Indian_Clothes_14.png,0.75,26.1
Korea_Indian_Clothes_15.png,0.83,2.25
Korea_Indian_Clothes_16.png,0.77,25.71
Korea_Indian_Clothes_17.png,0.93,41.71
Korea_Indian_Clothes_18.png,0.83,16.82
Korea_Indian_Clothes_19.png,0.87,37.48
Korea_Indian_Clothes_20.png,0.98,48.89
Korea_Indian_Clothes_21.png,0.78,1.42
Korea_Indian_Clothes_22.png,0.96,65.01
Korea_Indian_Clothes_23.png,0.82,61.09
Korea_Indian_Clothes_24.png,0.9,43.64
Korea_Indian_Clothes_25.png,0.92,53.69
Korea_Indian_Clothes_26.png,0.71,34.72
Korea_Indian_Clothes_27.png,0.81,48.25
Korea_Indian_Clothes_28.png,0.81,2.72
Korea_Indian_Clothes_29.png,0.93,18.76
Korea_Indian_Clothes_30.png,0.87,36.88
Korea_Indian_Clothes_31.png,0.82,26.99
Korea_Indian_Clothes_32.png,0.79,18.93
Korea_Indian_Clothes_33.png,0.89,21.9
Korea_White_Clothes_1.png,0.9,24.16
Korea_White_Clothes_2.png,0.78,53.35
Korea_White_Clothes_3.png,0.84,83.41
Korea_White_Clothes_4.png,0.96,37.24
Korea_White_Clothes_5.png,0.98,12.94
Korea_White_Clothes_6.png,0.9,4.59
Korea_White_Clothes_7.png,0.89,31.71
Korea_White_Clothes_8.png,0.91,7.54
Korea_White_Clothes_9.png,0.83,77.39
Korea_White_Clothes_10.png,0.97,37.89
Korea_White_Clothes_11.png,0.98,16.61
Korea_White_Clothes_12.png,0.76,9.24
Korea_White_Clothes_13.png,0.89,31.6
Korea_White_Clothes_14.png,0.79,27.36
Korea_White_Clothes_15.png,0.82,3.78
Korea_White_Clothes_16.png,0.81,25.05
Korea_White_Clothes_17.png,0.92,42.75
Korea_White_Clothes_18.png,0.88,16.02
Korea_White_Clothes_19.png,0.84,36.74
Korea_White_Clothes_20.png,0.98,48.84
Korea_White_Clothes_21.png,0.85,1.41
Korea_White_Clothes_22.png,0.98,61.88
Korea_White_Clothes_23.png,0.81,60.34
Korea_White_Clothes_24.png,0.96,42.49
Korea_White_Clothes_25.png,0.9,55.53
Korea_White_Clothes_26.png,0.75,33.0
Korea_White_Clothes_27.png,0.91,48.65
Korea_White_Clothes_28.png,0.83,2.66
Korea_White_Clothes_29.png,0.95,20.19
Korea_White_Clothes_30.png,0.96,37.19
Korea_White_Clothes_31.png,0.89,27.24
Korea_White_Clothes_32.png,0.94,19.37
Korea_White_Clothes_33.png,0.89,22.61
