filename,img_similarity,brisque_score
Myanmar_White_clothes_10.png,0.93,17.89
Myanmar_White_clothes_30.png,0.96,19.76
Myanmar_White_clothes_25.png,0.81,56.09
Myanmar_White_clothes_26.png,0.71,72.85
Myanmar_White_clothes_15.png,0.93,18.28
Myanmar_White_clothes_7.png,0.97,21.91
Myanmar_White_clothes_22.png,0.93,30.79
Myanmar_White_clothes_0.png,0.85,32.64
Myanmar_White_clothes_5.png,0.91,25.63
Myanmar_White_clothes_11.png,0.89,13.8
Myanmar_White_clothes_13.png,0.89,12.73
Myanmar_White_clothes_32.png,0.63,64.21
Myanmar_White_clothes_20.png,0.82,52.65
Myanmar_White_clothes_2.png,0.9,1.17
Myanmar_White_clothes_16.png,0.96,50.55
Myanmar_White_clothes_18.png,0.86,14.76
Myanmar_White_clothes_21.png,0.83,15.77
Myanmar_White_clothes_8.png,0.88,19.98
Myanmar_White_clothes_29.png,0.7,54.5
Myanmar_White_clothes_1.png,0.79,1.28
Myanmar_White_clothes_27.png,0.73,76.48
Myanmar_White_clothes_6.png,0.93,28.11
Myanmar_White_clothes_23.png,0.8,11.31
Myanmar_White_clothes_17.png,0.91,19.67
Myanmar_White_clothes_12.png,0.87,22.9
Myanmar_White_clothes_31.png,0.8,24.57
Myanmar_White_clothes_4.png,0.76,13.16
Myanmar_White_clothes_3.png,0.9,17.94
Myanmar_White_clothes_28.png,0.84,65.71
Myanmar_White_clothes_14.png,0.77,34.66
Myanmar_White_clothes_19.png,0.79,30.49
Myanmar_White_clothes_9.png,0.94,8.42
Myanmar_White_clothes_24.png,0.96,46.01
Myanmar_Asian_clothes_10.png,0.96,17.44
Myanmar_Asian_clothes_30.png,0.96,19.55
Myanmar_Asian_clothes_25.png,0.87,56.5
Myanmar_Asian_clothes_26.png,0.85,72.29
Myanmar_Asian_clothes_15.png,0.91,18.45
Myanmar_Asian_clothes_7.png,0.98,22.73
Myanmar_Asian_clothes_22.png,0.9,31.19
Myanmar_Asian_clothes_0.png,0.95,32.75
Myanmar_Asian_clothes_5.png,0.94,26.3
Myanmar_Asian_clothes_11.png,0.93,14.51
Myanmar_Asian_clothes_13.png,0.91,11.54
Myanmar_Asian_clothes_32.png,0.9,64.71
Myanmar_Asian_clothes_20.png,0.92,39.99
Myanmar_Asian_clothes_2.png,0.95,2.86
Myanmar_Asian_clothes_16.png,0.97,51.18
Myanmar_Asian_clothes_18.png,0.87,14.86
Myanmar_Asian_clothes_21.png,0.96,15.14
Myanmar_Asian_clothes_8.png,0.91,19.78
Myanmar_Asian_clothes_29.png,0.9,54.71
Myanmar_Asian_clothes_1.png,0.86,2.98
Myanmar_Asian_clothes_27.png,0.93,74.76
Myanmar_Asian_clothes_6.png,0.95,28.55
Myanmar_Asian_clothes_23.png,0.92,10.93
Myanmar_Asian_clothes_17.png,0.83,18.83
Myanmar_Asian_clothes_12.png,0.9,22.88
Myanmar_Asian_clothes_31.png,0.93,24.26
Myanmar_Asian_clothes_4.png,0.91,14.14
Myanmar_Asian_clothes_3.png,0.95,18.36
Myanmar_Asian_clothes_28.png,0.93,65.65
Myanmar_Asian_clothes_14.png,0.88,35.23
Myanmar_Asian_clothes_19.png,0.91,30.61
Myanmar_Asian_clothes_9.png,0.93,7.77
Myanmar_Asian_clothes_24.png,0.98,46.14
Myanmar_Black_clothes_10.png,0.84,17.61
Myanmar_Black_clothes_30.png,0.88,20.03
Myanmar_Black_clothes_25.png,0.82,56.61
Myanmar_Black_clothes_26.png,0.7,73.15
Myanmar_Black_clothes_15.png,0.82,17.63
Myanmar_Black_clothes_7.png,0.94,22.35
Myanmar_Black_clothes_22.png,0.84,31.15
Myanmar_Black_clothes_0.png,0.87,33.23
Myanmar_Black_clothes_5.png,0.85,26.38
Myanmar_Black_clothes_11.png,0.8,14.04
Myanmar_Black_clothes_13.png,0.8,12.38
Myanmar_Black_clothes_32.png,0.72,64.44
Myanmar_Black_clothes_20.png,0.81,52.07
Myanmar_Black_clothes_2.png,0.93,2.1
Myanmar_Black_clothes_16.png,0.9,50.43
Myanmar_Black_clothes_18.png,0.79,13.64
Myanmar_Black_clothes_21.png,0.8,14.38
Myanmar_Black_clothes_8.png,0.8,20.18
Myanmar_Black_clothes_29.png,0.69,54.51
Myanmar_Black_clothes_1.png,0.69,2.03
Myanmar_Black_clothes_27.png,0.78,77.41
Myanmar_Black_clothes_6.png,0.87,28.48
Myanmar_Black_clothes_23.png,0.79,11.34
Myanmar_Black_clothes_17.png,0.83,19.99
Myanmar_Black_clothes_12.png,0.71,22.33
Myanmar_Black_clothes_31.png,0.78,24.48
Myanmar_Black_clothes_4.png,0.79,14.2
Myanmar_Black_clothes_3.png,0.82,18.38
Myanmar_Black_clothes_28.png,0.81,65.43
Myanmar_Black_clothes_14.png,0.75,34.94
Myanmar_Black_clothes_19.png,0.73,30.45
Myanmar_Black_clothes_9.png,0.9,7.81
Myanmar_Black_clothes_24.png,0.94,45.21
Myanmar_Indian_clothes_10.png,0.91,18.51
Myanmar_Indian_clothes_30.png,0.87,18.63
Myanmar_Indian_clothes_25.png,0.84,55.8
Myanmar_Indian_clothes_26.png,0.78,72.41
Myanmar_Indian_clothes_15.png,0.91,18.01
Myanmar_Indian_clothes_7.png,0.97,22.03
Myanmar_Indian_clothes_22.png,0.88,31.06
Myanmar_Indian_clothes_0.png,0.82,33.69
Myanmar_Indian_clothes_5.png,0.89,26.51
Myanmar_Indian_clothes_11.png,0.86,14.48
Myanmar_Indian_clothes_13.png,0.79,13.15
Myanmar_Indian_clothes_32.png,0.76,63.77
Myanmar_Indian_clothes_20.png,0.84,52.41
Myanmar_Indian_clothes_2.png,0.93,1.4
Myanmar_Indian_clothes_16.png,0.95,51.49
Myanmar_Indian_clothes_18.png,0.84,15.14
Myanmar_Indian_clothes_21.png,0.82,15.12
Myanmar_Indian_clothes_8.png,0.81,20.18
Myanmar_Indian_clothes_29.png,0.74,54.12
Myanmar_Indian_clothes_1.png,0.72,2.49
Myanmar_Indian_clothes_27.png,0.88,76.64
Myanmar_Indian_clothes_6.png,0.87,28.12
Myanmar_Indian_clothes_23.png,0.82,11.39
Myanmar_Indian_clothes_17.png,0.89,18.14
Myanmar_Indian_clothes_12.png,0.8,22.49
Myanmar_Indian_clothes_31.png,0.81,24.78
Myanmar_Indian_clothes_4.png,0.82,14.63
Myanmar_Indian_clothes_3.png,0.85,19.12
Myanmar_Indian_clothes_28.png,0.82,65.48
Myanmar_Indian_clothes_14.png,0.68,34.43
Myanmar_Indian_clothes_19.png,0.81,29.86
Myanmar_Indian_clothes_9.png,0.94,8.47
Myanmar_Indian_clothes_24.png,0.98,45.09
