filename,img_similarity,brisque_score
Myanmar_White_festival_16.png,0.79,22.4
Myanmar_White_festival_4.png,0.93,33.66
Myanmar_White_festival_29.png,0.99,15.27
Myanmar_White_festival_2.png,0.78,67.27
Myanmar_White_festival_22.png,0.96,20.09
Myanmar_White_festival_3.png,0.97,22.12
Myanmar_White_festival_7.png,0.83,25.54
Myanmar_White_festival_14.png,0.97,9.94
Myanmar_White_festival_20.png,0.94,19.34
Myanmar_White_festival_15.png,0.93,15.35
Myanmar_White_festival_28.png,0.92,8.79
Myanmar_White_festival_32.png,0.99,27.51
Myanmar_White_festival_1.png,0.95,55.31
Myanmar_White_festival_18.png,0.97,16.1
Myanmar_White_festival_23.png,0.87,9.41
Myanmar_White_festival_11.png,0.99,15.91
Myanmar_White_festival_24.png,0.96,16.98
Myanmar_White_festival_25.png,0.99,15.27
Myanmar_White_festival_17.png,0.86,20.42
Myanmar_White_festival_31.png,0.96,21.75
Myanmar_White_festival_12.png,0.81,17.85
Myanmar_White_festival_10.png,0.99,-1.12
Myanmar_White_festival_5.png,0.95,8.28
Myanmar_White_festival_27.png,0.97,22.4
Myanmar_White_festival_8.png,0.87,63.02
Myanmar_White_festival_6.png,0.96,18.93
Myanmar_White_festival_9.png,0.81,58.57
Myanmar_White_festival_19.png,0.81,78.8
Myanmar_White_festival_21.png,0.94,58.83
Myanmar_White_festival_0.png,0.84,26.45
Myanmar_White_festival_26.png,0.95,29.62
Myanmar_White_festival_13.png,0.89,6.98
Myanmar_White_festival_30.png,0.85,20.32
Myanmar_Asian_festival_16.png,0.88,22.76
Myanmar_Asian_festival_4.png,0.98,49.31
Myanmar_Asian_festival_29.png,0.93,15.01
Myanmar_Asian_festival_2.png,0.88,66.89
Myanmar_Asian_festival_22.png,0.97,20.15
Myanmar_Asian_festival_3.png,0.99,22.2
Myanmar_Asian_festival_7.png,0.97,14.49
Myanmar_Asian_festival_14.png,0.96,10.01
Myanmar_Asian_festival_20.png,0.97,19.35
Myanmar_Asian_festival_15.png,0.98,15.56
Myanmar_Asian_festival_28.png,0.95,10.17
Myanmar_Asian_festival_32.png,1.0,27.55
Myanmar_Asian_festival_1.png,0.94,54.79
Myanmar_Asian_festival_18.png,0.99,16.26
Myanmar_Asian_festival_23.png,0.97,19.69
Myanmar_Asian_festival_11.png,1.0,15.77
Myanmar_Asian_festival_24.png,0.98,16.91
Myanmar_Asian_festival_25.png,0.99,15.11
Myanmar_Asian_festival_17.png,0.95,19.75
Myanmar_Asian_festival_31.png,0.99,21.71
Myanmar_Asian_festival_12.png,0.83,16.2
Myanmar_Asian_festival_10.png,0.98,-1.08
Myanmar_Asian_festival_5.png,0.97,7.74
Myanmar_Asian_festival_27.png,0.97,22.31
Myanmar_Asian_festival_8.png,0.94,61.78
Myanmar_Asian_festival_6.png,0.96,19.24
Myanmar_Asian_festival_9.png,0.93,58.58
Myanmar_Asian_festival_19.png,0.93,78.79
Myanmar_Asian_festival_21.png,0.96,58.89
Myanmar_Asian_festival_0.png,0.91,25.77
Myanmar_Asian_festival_26.png,0.97,29.5
Myanmar_Asian_festival_13.png,0.96,7.18
Myanmar_Black_festival_16.png,0.77,22.88
Myanmar_Black_festival_4.png,0.93,49.32
Myanmar_Black_festival_29.png,0.88,15.02
Myanmar_Black_festival_2.png,0.78,66.98
Myanmar_Black_festival_22.png,0.92,20.02
Myanmar_Black_festival_3.png,0.98,22.26
Myanmar_Black_festival_7.png,0.86,14.27
Myanmar_Black_festival_14.png,0.96,9.14
Myanmar_Black_festival_20.png,0.93,19.39
Myanmar_Black_festival_15.png,0.96,15.47
Myanmar_Black_festival_28.png,0.86,7.99
Myanmar_Black_festival_32.png,0.97,27.48
Myanmar_Black_festival_1.png,0.92,55.0
Myanmar_Black_festival_18.png,0.97,15.93
Myanmar_Black_festival_23.png,0.91,19.45
Myanmar_Black_festival_11.png,1.0,15.8
Myanmar_Black_festival_24.png,0.97,16.84
Myanmar_Black_festival_25.png,0.99,15.22
Myanmar_Black_festival_17.png,0.88,20.2
Myanmar_Black_festival_31.png,0.96,21.23
Myanmar_Black_festival_12.png,0.8,17.66
Myanmar_Black_festival_10.png,0.99,-1.02
Myanmar_Black_festival_5.png,0.93,8.0
Myanmar_Black_festival_27.png,0.96,22.54
Myanmar_Black_festival_8.png,0.82,62.86
Myanmar_Black_festival_6.png,0.98,19.74
Myanmar_Black_festival_9.png,0.79,58.76
Myanmar_Black_festival_19.png,0.73,78.42
Myanmar_Black_festival_21.png,0.93,59.04
Myanmar_Black_festival_0.png,0.82,26.47
Myanmar_Black_festival_26.png,0.91,29.83
Myanmar_Black_festival_13.png,0.94,7.04
Myanmar_Indian_festival_16.png,0.82,22.6
Myanmar_Indian_festival_4.png,0.95,49.43
Myanmar_Indian_festival_29.png,0.91,15.06
Myanmar_Indian_festival_2.png,0.85,66.24
Myanmar_Indian_festival_22.png,0.96,20.22
Myanmar_Indian_festival_3.png,0.99,21.97
Myanmar_Indian_festival_7.png,0.91,14.33
Myanmar_Indian_festival_14.png,0.97,10.22
Myanmar_Indian_festival_20.png,0.97,19.12
Myanmar_Indian_festival_15.png,0.96,15.43
Myanmar_Indian_festival_28.png,0.92,9.03
Myanmar_Indian_festival_32.png,0.99,27.58
Myanmar_Indian_festival_1.png,0.94,55.02
Myanmar_Indian_festival_18.png,0.98,16.22
Myanmar_Indian_festival_23.png,0.92,19.74
Myanmar_Indian_festival_11.png,0.99,15.68
Myanmar_Indian_festival_24.png,0.99,16.95
Myanmar_Indian_festival_25.png,0.99,15.3
Myanmar_Indian_festival_17.png,0.88,20.16
Myanmar_Indian_festival_31.png,0.97,21.65
Myanmar_Indian_festival_12.png,0.77,17.71
Myanmar_Indian_festival_10.png,1.0,-1.25
Myanmar_Indian_festival_5.png,0.94,8.2
Myanmar_Indian_festival_27.png,0.98,22.04
Myanmar_Indian_festival_8.png,0.88,61.89
Myanmar_Indian_festival_6.png,0.98,19.13
Myanmar_Indian_festival_9.png,0.85,58.66
Myanmar_Indian_festival_19.png,0.77,78.4
Myanmar_Indian_festival_21.png,0.95,58.86
Myanmar_Indian_festival_0.png,0.9,27.09
Myanmar_Indian_festival_26.png,0.95,26.79
Myanmar_Indian_festival_13.png,0.92,6.98
Myanmar_Indian_festival_30.png,0.83,20.34
