filename,img_similarity,brisque_score
UK_Asian_Clothes_1.png,0.93,31.81
UK_Asian_Clothes_2.png,0.96,18.25
UK_Asian_Clothes_3.png,0.91,1.99
UK_Asian_Clothes_4.png,0.99,27.22
UK_Asian_Clothes_5.png,0.99,39.6
UK_Asian_Clothes_6.png,0.84,28.92
UK_Asian_Clothes_7.png,0.86,31.95
UK_Asian_Clothes_8.png,0.84,40.77
UK_Asian_Clothes_9.png,0.95,31.29
UK_Asian_Clothes_10.png,0.93,21.48
UK_Asian_Clothes_11.png,0.96,27.63
UK_Asian_Clothes_13.png,0.92,-0.84
UK_Asian_Clothes_14.png,0.86,18.57
UK_Asian_Clothes_15.png,0.96,16.2
UK_Asian_Clothes_16.png,0.82,-0.43
UK_Asian_Clothes_17.png,0.95,10.89
UK_Asian_Clothes_18.png,0.88,1.43
UK_Asian_Clothes_19.png,0.78,-0.05
UK_Asian_Clothes_20.png,0.92,12.65
UK_Asian_Clothes_21.png,0.86,21.85
UK_Asian_Clothes_22.png,0.97,42.19
UK_Asian_Clothes_23.png,0.97,41.41
UK_Asian_Clothes_24.png,0.9,34.61
UK_Asian_Clothes_25.png,0.96,23.36
UK_Asian_Clothes_26.png,0.94,0.36
UK_Asian_Clothes_27.png,0.88,9.56
UK_Asian_Clothes_28.png,0.93,23.6
UK_Asian_Clothes_29.png,0.73,29.25
UK_Asian_Clothes_30.png,0.79,10.94
UK_Asian_Clothes_31.png,0.83,29.1
UK_Asian_Clothes_32.png,0.78,24.77
UK_Asian_Clothes_33.png,0.86,15.92
UK_Black_Clothes_1.png,0.88,32.21
UK_Black_Clothes_2.png,0.93,18.43
UK_Black_Clothes_3.png,0.87,3.13
UK_Black_Clothes_4.png,0.98,27.23
UK_Black_Clothes_5.png,0.97,39.64
UK_Black_Clothes_6.png,0.81,29.12
UK_Black_Clothes_7.png,0.9,32.33
UK_Black_Clothes_8.png,0.84,40.24
UK_Black_Clothes_9.png,0.85,30.81
UK_Black_Clothes_10.png,0.85,22.36
UK_Black_Clothes_11.png,0.9,26.73
UK_Black_Clothes_12.png,0.83,34.43
UK_Black_Clothes_13.png,0.79,-0.55
UK_Black_Clothes_14.png,0.86,19.2
UK_Black_Clothes_15.png,0.93,16.1
UK_Black_Clothes_16.png,0.83,0.05
UK_Black_Clothes_17.png,0.92,10.57
UK_Black_Clothes_18.png,0.86,1.3
UK_Black_Clothes_19.png,0.68,-0.37
UK_Black_Clothes_20.png,0.9,12.48
UK_Black_Clothes_21.png,0.75,20.86
UK_Black_Clothes_22.png,0.98,41.91
UK_Black_Clothes_23.png,0.96,40.94
UK_Black_Clothes_24.png,0.89,34.31
UK_Black_Clothes_25.png,0.91,23.66
UK_Black_Clothes_26.png,0.92,0.68
UK_Black_Clothes_27.png,0.88,8.94
UK_Black_Clothes_28.png,0.94,24.24
UK_Black_Clothes_29.png,0.77,25.62
UK_Black_Clothes_30.png,0.82,10.49
UK_Black_Clothes_31.png,0.85,30.01
UK_Black_Clothes_32.png,0.8,24.87
UK_Black_Clothes_33.png,0.76,15.51
UK_Indian_Clothes_1.png,0.87,31.31
UK_Indian_Clothes_2.png,0.93,18.46
UK_Indian_Clothes_3.png,0.87,3.56
UK_Indian_Clothes_4.png,0.98,26.39
UK_Indian_Clothes_5.png,0.98,39.4
UK_Indian_Clothes_6.png,0.79,28.73
UK_Indian_Clothes_7.png,0.88,32.29
UK_Indian_Clothes_8.png,0.79,41.01
UK_Indian_Clothes_9.png,0.9,29.85
UK_Indian_Clothes_10.png,0.9,22.01
UK_Indian_Clothes_11.png,0.93,25.34
UK_Indian_Clothes_12.png,0.66,34.22
UK_Indian_Clothes_13.png,0.84,-1.47
UK_Indian_Clothes_14.png,0.82,19.92
UK_Indian_Clothes_15.png,0.91,16.13
UK_Indian_Clothes_16.png,0.81,0.35
UK_Indian_Clothes_17.png,0.92,11.4
UK_Indian_Clothes_18.png,0.81,1.21
UK_Indian_Clothes_19.png,0.62,-0.75
UK_Indian_Clothes_20.png,0.8,12.18
UK_Indian_Clothes_21.png,0.68,21.42
UK_Indian_Clothes_22.png,0.96,42.3
UK_Indian_Clothes_23.png,0.96,41.38
UK_Indian_Clothes_24.png,0.88,34.97
UK_Indian_Clothes_25.png,0.91,23.82
UK_Indian_Clothes_26.png,0.92,0.97
UK_Indian_Clothes_27.png,0.89,9.47
UK_Indian_Clothes_28.png,0.88,24.97
UK_Indian_Clothes_29.png,0.74,21.92
UK_Indian_Clothes_30.png,0.8,11.97
UK_Indian_Clothes_31.png,0.87,29.09
UK_Indian_Clothes_32.png,0.79,23.01
UK_Indian_Clothes_33.png,0.8,14.77
UK_White_Clothes_1.png,0.95,32.02
UK_White_Clothes_2.png,0.98,17.88
UK_White_Clothes_3.png,0.89,2.62
UK_White_Clothes_4.png,0.99,26.7
UK_White_Clothes_5.png,0.99,40.34
