filename,img_similarity,brisque_score
UK_Asian_Food_1.png,0.78,21.67
UK_Asian_Food_2.png,0.84,47.04
UK_Asian_Food_3.png,0.69,12.06
UK_Asian_Food_4.png,0.89,32.1
UK_Asian_Food_5.png,0.82,35.32
UK_Asian_Food_6.png,0.86,16.88
UK_Asian_Food_7.png,0.78,20.17
UK_Asian_Food_8.png,0.82,23.09
UK_Asian_Food_9.png,0.81,18.65
UK_Asian_Food_10.png,0.8,32.45
UK_Asian_Food_11.png,0.9,6.81
UK_Asian_Food_12.png,0.88,15.55
UK_Asian_Food_13.png,0.72,48.08
UK_Asian_Food_14.png,0.84,6.33
UK_Asian_Food_15.png,0.8,51.45
UK_Asian_Food_16.png,0.83,19.91
UK_Asian_Food_17.png,0.79,25.62
UK_Asian_Food_18.png,0.81,9.23
UK_Asian_Food_19.png,0.84,14.58
UK_Asian_Food_20.png,0.78,37.22
UK_Asian_Food_21.png,0.72,36.16
UK_Asian_Food_22.png,0.84,55.79
UK_Asian_Food_23.png,0.8,53.54
UK_Asian_Food_24.png,0.86,35.25
UK_Asian_Food_25.png,0.73,10.27
UK_Asian_Food_26.png,0.88,23.31
UK_Asian_Food_27.png,0.86,24.34
UK_Asian_Food_28.png,0.84,13.18
UK_Asian_Food_29.png,0.78,13.99
UK_Asian_Food_30.png,0.94,14.19
UK_Asian_Food_31.png,0.74,21.29
UK_Asian_Food_32.png,0.85,32.53
UK_Asian_Food_33.png,0.91,36.71
UK_Black_Food_1.png,0.83,19.46
UK_Black_Food_2.png,0.82,47.02
UK_Black_Food_3.png,0.78,12.52
UK_Black_Food_4.png,0.84,30.08
UK_Black_Food_5.png,0.79,34.22
UK_Black_Food_6.png,0.8,12.94
UK_Black_Food_7.png,0.81,18.8
UK_Black_Food_8.png,0.8,21.08
UK_Black_Food_9.png,0.78,14.51
UK_Black_Food_10.png,0.83,28.69
UK_Black_Food_11.png,0.75,5.44
UK_Black_Food_12.png,0.86,11.55
UK_Black_Food_13.png,0.8,47.95
UK_Black_Food_14.png,0.83,7.2
UK_Black_Food_15.png,0.8,51.42
UK_Black_Food_16.png,0.81,20.11
UK_Black_Food_17.png,0.87,26.04
UK_Black_Food_18.png,0.77,9.7
UK_Black_Food_19.png,0.81,13.88
