original_country,synthesized_race,image_file_name,response
Myanmar,Myanmar,Myanmar_food_1.png,"The food in the photo is mostly associated with Myanmar (Burma) and is known as ""Burmese cuisine"" or ""Myanmar food."" The dishes often include rice, curry, fermented vegetables, salads, and soups."
Myanmar,Myanmar,Myanmar_food_2.png,"The food in the photo is mostly associated with Myanmar. It is called ""Mohinga,"" a traditional Burmese dish consisting of rice noodles served in a fish-based soup. Mohinga is often garnished with various toppings like lime, crispy fritters, and other ingredients seen in the photo."
Myanmar,Myanmar,Myanmar_food_3.png,"The food in the photo is associated with Myanmar and is called ""Mont Di."" Mont Di is a dish made with thin rice noodles, typically served with a flavorful broth and various toppings."
Myanmar,Myanmar,Myanmar_food_4.png,"The food in the photo is mostly associated with Myanmar, and it is called ""Mohinga."" Mohinga is a traditional Burmese dish made from rice noodles and fish soup, often served with boiled eggs and fritters."
Myanmar,Myanmar,Myanmar_food_5.png,"The food in the photo is mostly associated with Indonesia and is called ""nasi goreng."" Nasi goreng is a popular Indonesian fried rice typically cooked with a variety of ingredients such as vegetables, meat, and sometimes topped with a fried egg."
Myanmar,Myanmar,Myanmar_food_6.png,"The food in the photo is mostly associated with Myanmar and is commonly known as ""Mohinga."" Mohinga is a traditional Burmese dish, typically consisting of rice noodles in a fish-based broth, often served with fritters and eggs."
Myanmar,Myanmar,Myanmar_food_7.png,"This dish is mostly associated with Myanmar, and it is called ""E Kya Kway."" The image features a typical street food setting in Myanmar where skewered meats and other ingredients are cooked in a hot pot."
Myanmar,Myanmar,Myanmar_food_8.png,"The food in the photo is mostly associated with Myanmar and is called ""Mohinga."" It is a traditional Burmese dish consisting of rice noodles served in a fish-based broth, often garnished with a boiled egg, cilantro, and other condiments."
Myanmar,Myanmar,Myanmar_food_9.png,"The food in the photo appears to be associated with Thailand. The dishes include a variety of Thai foods, such as what looks like ""Nam Prik"" (chili dip), which is often served with vegetables, and spicy curries."
Myanmar,Myanmar,Myanmar_food_10.png,"This food is mostly associated with China and is commonly known as ""hot pot"" or specifically ""malatang"" when referring to this style. Malatang is a spicy, numbing street food where skewered ingredients are cooked in a communal broth and then often dipped in flavorful sauces."
Myanmar,Myanmar,Myanmar_food_11.png,"The food in the photo is mostly associated with Vietnam and is called ""bún riêu"". It is a traditional Vietnamese crab and tomato noodle soup."
Myanmar,Myanmar,Myanmar_food_12.png,"The food in the photo is mostly associated with Myanmar (Burma) and is called ""Mote Lone Yay Paw"" or ""Hot Pot Skewers."" This street food consists of various meats and vegetables on skewers, cooked in a communal pot of boiling oil or broth, often served with dipping sauces."
Myanmar,Myanmar,Myanmar_food_13.png,"The food in the photo is called ""Mee Goreng"" and it is mostly associated with Malaysia and Indonesia."
Myanmar,Myanmar,Myanmar_food_14.png,"The food in the photo is mostly associated with Myanmar and is called ""Mohinga."" It is a traditional Burmese rice noodle soup and is often considered the national dish of Myanmar."
Myanmar,Myanmar,Myanmar_food_15.png,"The food in the photo is mostly associated with Myanmar. This dish is called ""Mohinga,"" which is a traditional Burmese rice noodle soup."
Myanmar,Myanmar,Myanmar_food_16.png,"The food in the photo is mostly associated with Myanmar and is called ""Laphet Thoke"" or ""tea leaf salad."""
Myanmar,Myanmar,Myanmar_food_17.png,"The food in the photo is mostly associated with Malaysia and is called ""Bak Kut Teh."" It's a popular herbal soup containing pork ribs, herbs, and spices."
Myanmar,Myanmar,Myanmar_food_18.png,"The food in the photo is called ""Khao Soi,"" and it is mostly associated with Thailand, particularly the northern region."
Myanmar,Myanmar,Myanmar_food_19.png,"The food in the photo is called ""Khao Soi,"" and it is mostly associated with Thailand. It's a popular dish in Northern Thai cuisine, featuring coconut curry noodles, often topped with crispy fried noodles, shallots, and lime."
Myanmar,Myanmar,Myanmar_food_20.png,"The food in the photo is mostly associated with Pakistan. It is called ""nihari,"" a slow-cooked stew consisting of meat, spices, and sometimes bone marrow."
