Country-Race,gpt4o,glm4v,internVL
Azerbaijan-Original,0.85,0.36,0.49
Azerbaijan-African,0.73,0.27,0.39
Azerbaijan-Caucasian,0.73,0.30,0.46
Azerbaijan-EastAsian,0.73,0.27,0.52
Azerbaijan-SouthAsian,0.61,0.39,0.24
Azerbaijan-Total,0.70,0.31,0.40
Korea-Original,0.67,0.49,0.49
Korea-African,0.61,0.46,0.27
Korea-Caucasian,0.58,0.42,0.36
Korea-EastAsian,0.73,0.46,0.42
Korea-SouthAsian,0.55,0.46,0.33
Korea-Total,0.61,0.45,0.35
Myanmar-Original,0.33,0.03,0.09
Myanmar-African,0.15,0.00,0.09
Myanmar-Caucasian,0.27,0.00,0.03
Myanmar-EastAsian,0.18,0.00,0.03
Myanmar-SouthAsian,0.27,0.00,0.03
Myanmar-Total,0.22,0.00,0.05
UK-Original,0.76,0.76,0.67
UK-African,0.76,0.70,0.64
UK-Caucasian,0.76,0.76,0.64
UK-EastAsian,0.70,0.70,0.55
UK-SouthAsian,0.70,0.70,0.61
UK-Total,0.73,0.71,0.61
US-Original,0.88,0.91,0.97
US-African,0.85,0.94,1.00
US-Caucasian,0.94,0.94,0.97
US-EastAsian,0.73,0.85,0.91
US-SouthAsian,0.73,0.82,0.82
US-Total,0.81,0.89,0.92
