Country-Race,gpt4o,glm4v,internVL
Azerbaijan-Original,0.00,0.00,0.00
Azerbaijan-African,0.12,0.09,0.09
Azerbaijan-Caucasian,0.12,0.06,0.03
Azerbaijan-EastAsian,0.12,0.09,-0.03
Azerbaijan-SouthAsian,0.24,-0.03,0.24
Azerbaijan-Total,0.15,0.05,0.08
Korea-Original,0.00,0.00,0.00
Korea-African,0.06,0.03,0.21
Korea-Caucasian,0.09,0.06,0.12
Korea-EastAsian,-0.06,0.03,0.06
Korea-SouthAsian,0.12,0.03,0.15
Korea-Total,0.05,0.04,0.14
Myanmar-Original,0.00,0.00,0.00
Myanmar-African,0.18,0.03,0.00
Myanmar-Caucasian,0.06,0.03,0.06
Myanmar-EastAsian,0.15,0.03,0.06
Myanmar-SouthAsian,0.06,0.03,0.06
Myanmar-Total,0.11,0.03,0.05
UK-Original,0.00,0.00,0.00
UK-African,0.00,0.06,0.03
UK-Caucasian,0.00,0.00,0.03
UK-EastAsian,0.06,0.06,0.12
UK-SouthAsian,0.06,0.06,0.06
UK-Total,0.03,0.05,0.06
US-Original,0.00,0.00,0.00
US-African,0.03,-0.03,-0.03
US-Caucasian,-0.06,-0.03,0.00
US-EastAsian,0.15,0.06,0.06
US-SouthAsian,0.15,0.09,0.15
US-Total,0.07,0.02,0.05
