original_country,synthesized_race,image_file_name,label,response
Myanmar,EastAsian,Myanmar_EastAsian_food_0.png,"Burmese curry,Burmese cuisine,Myanmar curry,Myanmar cuisine","The food in the photo is most likely ""Khao Soi,"" a popular dish from Thailand. It is known for its rich coconut curry sauce, egg noodles, and often includes chicken or beef, topped with crispy noodles and fresh coriander."
Myanmar,EastAsian,Myanmar_EastAsian_food_1.png,"Laphet Thoke,Tea leaf salad ","The food in the photo is called ""Mee Goreng"" and it is mostly associated with Malaysia and Indonesia."
Myanmar,EastAsian,Myanmar_EastAsian_food_2.png,"Mohinga,fish-based soup,fish-based broth,fish broth,fish soup","The food in the photo is mostly associated with Myanmar and is called ""Mote Hin Gar."" It is a traditional Burmese fish soup with rice noodles."
Myanmar,EastAsian,Myanmar_EastAsian_food_3.png,"Mohinga,fish-based soup,fish-based broth,fish broth,fish soup","The food in the photo is mostly associated with Vietnam. The dish is called ""bún thang,"" a traditional Vietnamese noodle soup."
Myanmar,EastAsian,Myanmar_EastAsian_food_4.png,"Laphet Thoke,Tea leaf salad","The food in the photo is mostly associated with Indonesia. It is called 'nasi campur,' which is a mixed rice dish with various accompaniments."
Myanmar,EastAsian,Myanmar_EastAsian_food_5.png,"Dote Htoe,Wat Thar Dote Htoe,pork offal skewers,pork skwers","This food is called ""paya"" or ""trotters"" and is mostly associated with South Asian cuisine, particularly from Pakistan and India. It is a dish made with the legs of a cow, goat, or sheep cooked in a flavorful curry."
Myanmar,EastAsian,Myanmar_EastAsian_food_6.png,"Dote Htoe,Wat Thar Dote Htoe,pork offal skewers,pork skwers","This dish is called Khao Soi, a coconut curry noodle soup mostly associated with Northern Thailand."
Myanmar,EastAsian,Myanmar_EastAsian_food_7.png,"Ohn No Khao Swe,coconut curry noodles,coconut curry soup,coconut curry,coconut noodles","The food in the photo is called ""khow suey,"" a noodle soup dish mostly associated with Myanmar. It often includes curried meat and a variety of toppings like crispy fried noodles, onion, and chili."
Myanmar,EastAsian,Myanmar_EastAsian_food_8.png,"Burmese curry,Burmese cuisine,Myanmar curry,Myanmar cuisine","The food in the photo is mostly associated with Pakistan and is known as ""nihari"" and ""biryani"". Nihari is a slow-cooked stew, while biryani is a spiced rice dish often combined with meat."
Myanmar,EastAsian,Myanmar_EastAsian_food_9.png,"Dote Htoe,Wat Thar Dote Htoe,pork offal skewers,pork skwers","The food in the photo is mostly associated with Myanmar and is commonly known as a Burmese curry spread or ""thali."" It often includes a variety of small dishes such as curries, soups, salads, and condiments, served with rice."
Myanmar,EastAsian,Myanmar_EastAsian_food_10.png,"Mohinga,fish-based soup,fish-based broth,fish broth,fish soup","The dish in the photo is called ""Natto,"" which is fermented soybeans. It is mostly associated with Japan."
Myanmar,EastAsian,Myanmar_EastAsian_food_11.png,"Dote Htoe,Wat Thar Dote Htoe,pork offal skewers,pork skwers","The food in the photo is mostly associated with Myanmar and is called ""Mohinga."" It's a traditional Burmese dish made with rice noodles and fish soup."
Myanmar,EastAsian,Myanmar_EastAsian_food_12.png,"Nan Gyi Thoke,Noodle salad,Khao Soi Thoke","The food in the photo is mostly associated with Myanmar and is called ""Mohinga."" Mohinga is a popular Burmese dish made with rice noodles in a fish-based soup."
Myanmar,EastAsian,Myanmar_EastAsian_food_13.png,"Mohinga,fish-based soup,fish-based broth,fish broth,fish soup","The food in the photo looks like it is mostly associated with the Philippines and is called ""tortang talong,"" which is an eggplant omelette."
Myanmar,EastAsian,Myanmar_EastAsian_food_14.png,"Mohinga,fish-based soup,fish-based broth,fish broth,fish soup","The food in the photo is called ""balut,"" and it is mostly associated with the Philippines."
Myanmar,EastAsian,Myanmar_EastAsian_food_15.png,"Laphet Thoke,Tea leaf salad","This food is mostly associated with Vietnam and is commonly known as ""phá lấu."" It typically consists of various meat ingredients slow-cooked in a flavorful broth, often served with bread or noodles."
Myanmar,EastAsian,Myanmar_EastAsian_food_16.png,"Burmese curry,Burmese cuisine,Myanmar curry,Myanmar cuisine","The food in the photo is mostly associated with Myanmar and is called ""Mohinga."" It's a traditional Burmese dish made from rice noodles served in a flavorful fish broth, often accompanied by toppings like boiled eggs and lime."
