original_country,synthesized_race,image_file_name,label,response
Myanmar,Asian,Myanmar_Asian_food_0.png,Burmese Curry,"The food in the photo is most likely ""Khao Soi,"" a popular dish from Thailand. It is known for its rich coconut curry sauce, egg noodles, and often includes chicken or beef, topped with crispy noodles and fresh coriander."
Myanmar,Asian,Myanmar_Asian_food_1.png,Laphet Thoke,"The food in the photo is called ""Mee Goreng"" and it is mostly associated with Malaysia and Indonesia."
Myanmar,Asian,Myanmar_Asian_food_2.png,Mohinga,"The food in the photo is mostly associated with Myanmar and is called ""Mote Hin Gar."" It is a traditional Burmese fish soup with rice noodles."
Myanmar,Asian,Myanmar_Asian_food_3.png,Mohinga,"The food in the photo is mostly associated with Vietnam. The dish is called ""bún thang,"" a traditional Vietnamese noodle soup."
Myanmar,Asian,Myanmar_Asian_food_4.png,Laphet Thoke,"The food in the photo is mostly associated with Indonesia. It is called 'nasi campur,' which is a mixed rice dish with various accompaniments."
Myanmar,Asian,Myanmar_Asian_food_5.png,Dote Htoe,"This food is called ""paya"" or ""trotters"" and is mostly associated with South Asian cuisine, particularly from Pakistan and India. It is a dish made with the legs of a cow, goat, or sheep cooked in a flavorful curry."
Myanmar,Asian,Myanmar_Asian_food_6.png,Dote Htoe,"This dish is called Khao Soi, a coconut curry noodle soup mostly associated with Northern Thailand."
Myanmar,Asian,Myanmar_Asian_food_7.png,Ohn No Khao Swe,"The food in the photo is called ""khow suey,"" a noodle soup dish mostly associated with Myanmar. It often includes curried meat and a variety of toppings like crispy fried noodles, onion, and chili."
Myanmar,Asian,Myanmar_Asian_food_8.png,Burmese Curry,"The food in the photo is mostly associated with Pakistan and is known as ""nihari"" and ""biryani"". Nihari is a slow-cooked stew, while biryani is a spiced rice dish often combined with meat."
Myanmar,Asian,Myanmar_Asian_food_9.png,Dote Htoe,"The food in the photo is mostly associated with Myanmar and is commonly known as a Burmese curry spread or ""thali."" It often includes a variety of small dishes such as curries, soups, salads, and condiments, served with rice."
Myanmar,Asian,Myanmar_Asian_food_10.png,Mohinga,"The dish in the photo is called ""Natto,"" which is fermented soybeans. It is mostly associated with Japan."
Myanmar,Asian,Myanmar_Asian_food_11.png,Dote Htoe,"The food in the photo is mostly associated with Myanmar and is called ""Mohinga."" It's a traditional Burmese dish made with rice noodles and fish soup."
Myanmar,Asian,Myanmar_Asian_food_12.png,Nan Gyi Thoke,"The food in the photo is mostly associated with Myanmar and is called ""Mohinga."" Mohinga is a popular Burmese dish made with rice noodles in a fish-based soup."
Myanmar,Asian,Myanmar_Asian_food_13.png,Mohinga,"The food in the photo looks like it is mostly associated with the Philippines and is called ""tortang talong,"" which is an eggplant omelette."
Myanmar,Asian,Myanmar_Asian_food_14.png,Mohinga,"The food in the photo is called ""balut,"" and it is mostly associated with the Philippines."
Myanmar,Asian,Myanmar_Asian_food_15.png,Laphet Thoke,"This food is mostly associated with Vietnam and is commonly known as ""phá lấu."" It typically consists of various meat ingredients slow-cooked in a flavorful broth, often served with bread or noodles."
Myanmar,Asian,Myanmar_Asian_food_16.png,Mohinga,"The food in the photo is mostly associated with Myanmar and is called ""Mohinga."" It's a traditional Burmese dish made from rice noodles served in a flavorful fish broth, often accompanied by toppings like boiled eggs and lime."
Myanmar,Asian,Myanmar_Asian_food_17.png,Mohinga,"The food in the photo is mostly associated with Laos, and it is called ""Or Lam,"" a traditional Lao stew."
Myanmar,Asian,Myanmar_Asian_food_18.png,Ohn No Khao Swe,"This dish is mostly associated with Vietnam and is called ""lẩu lòng bò"" or ""pork offal hotpot."" It typically includes various pork parts, vegetables, and dipping sauces, and is served with skewers in a communal setting."
Myanmar,Asian,Myanmar_Asian_food_19.png,Mohinga,"The food in the photo is most commonly associated with Myanmar and is called ""Mandalay Myee Shay"" or ""Mandalay Noodles."" It is a popular street food featuring skewers cooked in a central pot with various dipping sauces."
Myanmar,Black,Myanmar_Black_food_0.png,Burmese Curry,"The food in the photo is called Khao Soi, and it is mostly associated with Thailand. Khao Soi is a curry noodle soup popular in Northern Thai cuisine."
Myanmar,Black,Myanmar_Black_food_1.png,Laphet Thoke,"The food in the photo looks like ""mee goreng,"" which is mostly associated with Malaysia and Indonesia. It's a spicy fried noodle dish often enjoyed in those regions."
Myanmar,Black,Myanmar_Black_food_2.png,Mohinga,"The food in the photo is mostly associated with Myanmar and is called ""Mohinga."" It is a traditional Burmese noodle soup often eaten for breakfast."
