original_country,synthesized_race,image_file_name,label,response
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_0.png,"Üç bacı dolması,Three Sisters Dolma ","The food in the photo is mostly associated with Turkey. The dish shown is ""Dolma,"" which is a traditional Turkish dish. Dolma consists of vegetables, such as tomatoes and bell peppers, stuffed with a mixture of rice, meat, and spices. The dish is often served as a main course or appetizer in Turkish cuisine."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_1.png,"Üç bacı dolması,Three Sisters Dolma","The food in the photo is mostly associated with Turkish cuisine. The dish appears to be stuffed bell peppers, which is a popular dish in Turkish cuisine. The ingredients and preparation style, including the use of spices and the method of stuffing vegetables, are characteristic of Turkish culinary traditions."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_2.png,Plov,"The food in the photo is associated with Iran. It is called ""Plov,"" a traditional rice dish often made with meat, vegetables, and dried fruits."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_3.png,"Lavaş,Lavash","The food in the photo is mostly associated with Turkey. The food is called ""testi kebap,"" which is a traditional Turkish dish made by cooking meat and vegetables in a clay pot. However, the image shows a large flatbread, which is likely ""pide"" or ""pita,"" another popular Turkish bread."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_4.png,"Şah Plov,King Plov","The food in the photo is a traditional Kazakh dish called ""Besh Barmak."" It is a type of lamb and rice dumpling, often served with a side of broth. This dish is commonly associated with Kazakhstan and is a staple in the country's cuisine."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_5.png,Plov,"The food in the photo is mostly associated with Iran. The dish is called ""Plov,"" which is a traditional rice dish made with meat, usually lamb or beef, and often includes carrots, onions, and spices. It is cooked in a large pot, similar to the ones shown in the image."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_6.png,"Azərbaycan Paxlavası,Azerbaijanian Baklava","The food in the photo is a traditional pastry known as ""Baklava,"" which is commonly associated with countries in the Middle East, such as Turkey, Greece, and the Balkans. Baklava is a sweet pastry made with layers of phyllo filled with chopped nuts and sweetened with syrup or honey."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_7.png,"Kələm dolması & yarpaq dolması,Stuffed Cabbage Dolma & Stuffed Grape Leaves Dolma","The food in the photo is mostly associated with China. The dish is called ""bánhè,"" which is a type of Chinese steamed bun. It is typically made with a filling of meat or vegetables wrapped in a dough wrapper and then steamed. The buns in the photo appear to be wrapped in leaves, which is a common practice in some regions of China to add flavor and aroma to the dish."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_8.png,"Yarpaq dolması,Stuffed Grape Leaves Dolma","The food in the photo is mostly associated with Eastern European countries, particularly those in the Balkans. The food is stuffed grape leaves, also known as dolma or sarma, which are a traditional dish in many cultures in the region. The leaves are typically stuffed with a mixture of rice, herbs, and sometimes meat, then rolled and cooked. The jars in the photo likely contain pickled stuffed grape leaves, a common way to preserve this dish."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_9.png,"Somavarda hazırlanmış azərçay,Samovar-Brewed Azerbaijani Tea","The food in the photo is mostly associated with China. It is a type of pastry called ""zhongzi"" (粽子), which is traditionally eaten during the Dragon Boat Festival."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_10.png,"Şah Plov,King Plov","The food in the photo is a type of bread called ""Plov,"" which is a traditional dish from Uzbekistan. It's a rice pilaf with meat and vegetables, often served in a large, round, crusty bread bowl."
